Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,NPC,感悟,称号,称号效果
,樊香蝶（精英）,柔巧动,绮梦幽影,"1.精力上限改变至20点
2.角色回合开始时：回复精力100%"
,戚如潇（精英）,巧动刚,追魂索命,"使用招式后：
1.若第1次击杀敌方，则回复精力100%     
2.若第2次击杀敌方，则回复精力50%
（每回合重置）"
,霍峻,巧动刚,山魈鬼王,使用招式后：回复与造成总伤害等值的气血
,梅信辉,巧动刚,山魈之祖,使用招式后：回复造成总伤害200%的气血
,石鸿图,巧动刚,毒偶大师,"1.毒术提高80点         
2.【神游太虚】触发几率提高20%         
3.“毒殭”【「毒体傀儡」 免疫负面。回合开始时：前进时序30。使用招式时：必定命中。使用招式后：每有1点精耗，敌方内伤、中毒和冰封各提高2点。受击时：受击总伤害降低60%】作为队友参战"
,杨天义,巧动刚,百足不僵,使用招式时：敌方每有1种负面，总伤害提高4%
,何白芍,柔巧动,箐寨苗女,回合开始时：范围5的敌方负面提高10点
,段思良,刚拙,南诏小将,使用招式时：必定暴击
,董迦罗,静柔,名门世族,回合开始时：范围5的敌方特技清零
,木初,拙静柔,土司继任者,回合开始时：范围5的友方回复气血和内力各20%、累积特技100%
,木奎,动刚拙,木府军阀,使用招式时：自身气血比例每低1%，总伤害提高2%
,图勒,动刚拙,三朵战将,"1.使用招式时：每有1名敌方在场，总伤害提高4%
2.使用招式暴击后：每有1点精耗，10%几率回精4点"
,桑登,动刚拙,上师,"1.被视作装备【扎西达杰】
2.【金刚伏魔】可作为反击招式
3.角色回合结束时：回精4点"
,东方迟,巧动刚,天下无双,"1.免疫负面
2.战斗开始：获得“起死回生”【气血降低至0点时：回复气血和内力各100%】【次数1】
3.作为敌方时：【神游太虚】不限次数
4.使用招式时：气血比例每低1%，总伤害提高2%"
,凌中岳,刚柔静,儒心剑胆,自身和友方获得“儒剑之阵”【使用招式反击后：累积反击率100%】
,心良道人,静柔巧,从心所欲,"1.受击后：累积卸劲率100%
2.使用招式反击后：累积反击率100%"
,谢荆生,柔巧动,毒手人屠,使用招式后：每有1点精耗，敌方中毒、冰封和内伤各提高10点
,孔金,动刚拙,东豪,【浴血奋战】和【千钧一发】次数各提高4
,徐暇客,巧动刚,南闲,角色回合开始时：回复精力100%
,云种火,柔巧动,西庖,"1.招式范围提高1
2.有“范围”的特效其范围提高1
3.使用招式连击后：回复精力2点"
,李崖主,动刚拙,北丑,使用招式连击时：总伤害提高40%
,武学障“拙”,动刚拙,武学障“拙”,体质和内功各提高200点
,武学障“静”,拙静柔,武学障“静”,使用招式反击时：借力打力效果提高100%
,武学障“柔”,静柔巧,武学障“柔”,卸劲效果提高至100%
,武学障“巧”,巧动刚,武学障“巧”,使用招式后：每有1点精耗，敌方负面提高10点
,武学障“动”,巧动刚,武学障“动”,角色回合开始时：回复精力100%
,武学障“刚”,动刚拙,武学障“刚”,使用招式时：气血比例每低1%，总伤害提高3%
,皇甫登云,动刚拙,西川兵马指挥使,回合开始时：范围5的敌方特技清零
,皇甫登云,动刚拙,不赦楼主,"1.回合开始时：敌方特技清零
2.使用【野球拳】全五式时：总伤害提高20%"
,百里惮赫,巧动刚,希有风王,"1.友方获得“风王阵”【使用招式暴击后：每有1点精耗，10%几率回复精力1点】
2.使用招式暴击后：每有1点精耗，10%几率回复精力3点"
,冯观戏,巧动刚,铁豹银枪,"1.“飞豹”【使用招式后：若敌方无“动脉破裂”、“心脉受损（600）”、“天罗地网”、“丧门飞星”和“夺命七杀”，则每有1点精耗，7%几率其获得以上状态随机其一】作为队友参战
2.使用招式时：敌方每有1点外伤，总伤害提高1%"
,李惑相,巧动刚,冷面阎王,使用招式击杀敌方后：回复精力100%
,蓝拂衣,静柔巧,混元推手,【乾坤挪移】效果提高60%
,陆常稽,柔巧动,饥肠辘辘,"1.招式范围提高2
2.有“范围”的特效其范围提高2"
,舒光壁,巧动刚,输光屁股,"1.回合开始时：获得“一秀”、“二举”、“三红”、“四进”、“对堂”或“状元”随机其一
2.回合结束时：移除之
“一秀”【使用非反击招式虚招后：每有1点精耗，7%几率敌方轻功清零】
“二举”【使用招式连击后：回复精力2点】
“三红”【使用招式击杀敌方后：回复气血和内力各100%】
“四进”【轻功提高200点】
“对堂”【使用招式侧击或背袭敌方时：总伤害提高40% 】
“状元”【获得“一秀”、“二举”、“三红”、“四进”、“对堂”】"
,梅星河,刚,梅开二度,使用招式暴击后：二次攻击
,禾泓渊,动刚拙,大锅头,使用招式时：气血比例每低1%，总伤害提高2%
,禾郁青（精英）,动刚拙,马帮帮主,使用招式时：气血比例每低1%，总伤害提高2%
,叶玉龙,动,叶家少主,"使用招式时：
1.若敌方为男性，则总伤害提高100%
2.若敌方为女性，则总伤害降低50%"
,叶金虹,巧动刚,叶家帮主,"1.使用招式后：每有1点精耗，敌方轻功降低3点
2.使用招式连击后：每有1点精耗，10%几率回复气血和内力各10%"
,白露霜,柔巧动,霜发罗煞,使用招式后：每有1点精耗，敌方负面提高10点
,李彦仙,动刚拙,忠威义烈,回合开始时：自身和友方回复气血和内力各30%
,战胤飞,动刚拙,铁面劲装,"1.受击时：受击总伤害降低40%
2.受击后：敌方特技清零"
,韩猊跋,静柔巧,嗜血人屠,"1.无视【血饮魔功】的节点的生效条件
2.使用招式后：回复造成总伤害50%的气血和内力"
,大黑天使者,动刚,大黑天庇护,受击时：若敌方道德高于0，则受击总伤害降低50%
,无名老僧、枯禅寺老僧、苦难、苦悲、苦命、仁慧禅师,动刚拙,佛光无涯,使用招式时：若敌方道德低于0，则总伤害提高50%
,禅心和尚,刚拙,佛光无涯,使用招式时：若敌方道德低于0，则总伤害提高50%
,文淬之,巧动刚,墨玉飞雪,使用招式连击后：每有1点精耗，累积特技6%
,解长宁,柔巧动,墨玉芙蓉,使用招式虚招后：每有1点精耗，累积特技6%
,陈志泽,动刚,酒庄大郎,使用招式连击后：回复精力3点
,陈志麟,动巧,酒庄二郎,使用招式连击后：回复精力3点
,陈志淇（剧情）,动刚,酒庄三郎,使用招式连击后：回复精力3点
,陈长卫,巧动刚,酒庄庄主,"1.使用招式时：必定暴击
2.使用招式连击后：回复精力3点"
,陈昊天,巧动刚,酒庄老太爷,"1.使用招式时：必定暴击
2.使用招式连击后：回复精力3点"
,张又沉,拙静柔,锦衣卫指挥使,"1.【蓄而后发】、【借力打力】和【乾坤挪移】效果各提高20%
2.回合开始时：范围5的敌方特技清零"
,东郭强,静,点苍剑客,使用招式反击后：累积反击率100%
,沈泽琦,拙静,边防将军,使用招式反击时：总伤害提高100%
,夏扎尔,巧动刚,狼蛮国师,暴击效果提高至100%
,慕容龙城,静柔巧,大燕皇室,使用招式反击时：借力打力效果提高100%
,赵雄,动刚拙,九袋长老,使用招式时：气血比例每低1%，总伤害提高1%
,周益,动巧,淘石副帮主,使用招式后：每有1点精耗，累积虚招和连击率各4%
,淘大石（剧情）,动刚,淘石帮主,【浴血奋战】和【千钧一发】次数各提高4
,鄂斯伯,巧动刚,蛇丐,使用招式侧击或背袭敌方时：总伤害提高40%
,西门玉堂,巧动刚,狐仙爷爷,轻功提高300点
,谭伯,拙,农民无双,使用【棍棒打击】时：总伤害提高200%
,景泰然,静柔,景大善人,【吞吐劲】的范围提高2
,钓鱼老叟,静柔巧,隐世高人,"1.免疫负面
2.【借力打力】和【乾坤挪移】效果各提高40%"
,太阴至尊,巧动刚,太阴至尊,使用招式时：敌方每有1种负面，总伤害提高4%
,舒辉,动刚拙,西域盗狂,"1.获得【川蜀名宿】的武学和装备
2.使用招式时：总伤害提高20%
3.受击时：受击总伤害降低20%"
,舒伦,巧动刚,西域盗狂,"1.获得【川蜀名宿】的武学和装备
2.使用招式时：总伤害提高20%
3.受击时：受击总伤害降低20%"
,舒杀,巧动刚,西域盗狂,"1.获得【川蜀名宿】的武学和装备
2.使用招式时：总伤害提高20%
3.受击时：受击总伤害降低20%"
,福多,柔巧动,西域盗狂,"1.获得【川蜀名宿】的武学和装备
2.使用招式时：总伤害提高20%
3.受击时：受击总伤害降低20%"
,黎库,动刚拙,西域盗狂,"1.获得【川蜀名宿】的武学和装备
2.使用招式时：总伤害提高20%
3.受击时：受击总伤害降低20%"
,神秘人,动刚拙,波斯圣使,使用招式后：敌方外伤提高100点、获得“弹片横飞”、“银花火树”、“雨霁云火烁”、“动脉破裂”
,戒杀道人,巧动刚,疯入膏肓,【浴血奋战】和【千钧一发】次数各提高6
,遗弃子,拙静柔,风眉侠骨,"1.角色回合开始时：回复气血和内力各10%
2.敌方距离高于3时，受击总伤害降低30%"
,陆展宏,动刚拙,浪里白条,使用招式暴击后：累积暴击率100%
,陆其清,动刚拙,立地太岁,使用招式时：必定暴击
,樊骨（剧情）,巧动刚,嗜血疯魔,"1.精力上限改变至20点
2.角色回合开始时：回复精力100%
3.使用招式时：总伤害提高50%
4.受击时：受击总伤害提高50% 
5.使用招式击杀敌方后：回复精力100%"
,金厉,动刚拙,纳西史诗,获得【千钧一发】时：【百折不挠】替换之
,索巴南卓,动刚拙,喰血真佛,"1.被视作装备【扎西达杰】
2.战斗开始时：获得【血饮魔功】的节点的特效"
,隼离（剧情）,巧动刚,孤鹰决剑,"1.【追魂索命】效果提高100%
2.使用剑法招式后：若内功或某种武学的数值不比敌方对应属性的数值高200点，则提高至其对应属性的数值后再提高200点"
